1648226079.838147 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2376:2412, ack 8573, win 443, options [nop,nop,TS val 1903995805 ecr 1011560186], length 36
1648226080.543805 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8573:8609, ack 2412, win 471, options [nop,nop,TS val 1011561754 ecr 1903995805], length 36
1648226080.547969 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8609:8701, ack 2412, win 471, options [nop,nop,TS val 1011561759 ecr 1903995805], length 92
1648226083.605199 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2412:2448, ack 8701, win 443, options [nop,nop,TS val 1903999572 ecr 1011561759], length 36
1648226083.717193 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2448:2484, ack 8701, win 443, options [nop,nop,TS val 1903999684 ecr 1011564905], length 36
1648226084.037305 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2484:2520, ack 8701, win 443, options [nop,nop,TS val 1904000004 ecr 1011565017], length 36
1648226084.173256 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2520:2556, ack 8701, win 443, options [nop,nop,TS val 1904000140 ecr 1011565337], length 36
1648226084.310365 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8701:8737, ack 2556, win 471, options [nop,nop,TS val 1011565521 ecr 1904000140], length 36
1648226084.365591 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2556:2592, ack 8737, win 443, options [nop,nop,TS val 1904000332 ecr 1011565521], length 36
1648226084.422147 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8737:8773, ack 2556, win 471, options [nop,nop,TS val 1011565633 ecr 1904000277], length 36
1648226084.566171 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2592:2628, ack 8773, win 443, options [nop,nop,TS val 1904000533 ecr 1011565665], length 36
1648226084.742448 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8773:8809, ack 2628, win 471, options [nop,nop,TS val 1011565953 ecr 1904000533], length 36
1648226084.790035 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2628:2664, ack 8809, win 443, options [nop,nop,TS val 1904000756 ecr 1011565953], length 36
1648226084.878290 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8809:8845, ack 2628, win 471, options [nop,nop,TS val 1011566089 ecr 1904000709], length 36
1648226085.021785 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2664:2700, ack 8845, win 443, options [nop,nop,TS val 1904000988 ecr 1011566090], length 36
